date,1. open,2. high,3. low,4. close,5. volume
2013-12-30,1.8482,1.8552,1.8417,1.8487,0.0
2013-12-29,1.8612,1.8644,1.8526,1.8608,0.0
2013-12-26,1.847,1.8595,1.8447,1.8468,0.0
2013-12-25,1.8344,1.8512,1.8336,1.8332,0.0
2013-12-24,1.8308,1.8341,1.8216,1.8308,0.0
2013-12-23,1.8305,1.8354,1.8293,1.8306,0.0
2013-12-22,1.8296,1.8334,1.8269,1.83,0.0
2013-12-19,1.8466,1.8472,1.8353,1.8461,0.0
2013-12-18,1.8523,1.8554,1.8446,1.8516,0.0
2013-12-17,1.8244,1.8478,1.8227,1.8241,0.0
2013-12-16,1.8225,1.829,1.8197,1.8227,0.0
2013-12-15,1.8207,1.829,1.8188,1.8205,0.0
2013-12-12,1.8308,1.8316,1.8168,1.8302,0.0
2013-12-11,1.8096,1.8336,1.8038,1.8096,0.0
2013-12-10,1.799,1.808,1.795,1.7989,0.0
2013-12-09,1.8064,1.811,1.7947,1.8066,0.0
2013-12-08,1.7929,1.8052,1.7893,1.7928,0.0
2013-12-05,1.8011,1.8128,1.796,1.8013,0.0
2013-12-04,1.8132,1.8162,1.8057,1.813,0.0
2013-12-03,1.794,1.8155,1.7928,1.7942,0.0
2013-12-02,1.7942,1.8057,1.7915,1.7943,0.0
2013-12-01,1.7951,1.8011,1.7897,1.7949,0.0
2013-11-28,1.7995,1.8057,1.79,1.7987,0.0
2013-11-27,1.7923,1.7991,1.7826,1.7924,0.0
2013-11-26,1.7769,1.7979,1.7746,1.7769,0.0
2013-11-25,1.7583,1.779,1.7566,1.7587,0.0
2013-11-24,1.7706,1.777,1.7636,1.7706,0.0
2013-11-21,1.7531,1.7697,1.7509,1.7534,0.0
2013-11-20,1.7251,1.7477,1.7243,1.7255,0.0
2013-11-19,1.7087,1.7244,1.7084,1.7089,0.0
2013-11-18,1.72,1.7212,1.7054,1.7196,0.0
2013-11-17,1.7194,1.7206,1.7109,1.7195,0.0
2013-11-14,1.7243,1.7251,1.7175,1.7245,0.0
2013-11-13,1.713,1.7294,1.7099,1.7133,0.0
2013-11-12,1.7078,1.7203,1.7064,1.7076,0.0
2013-11-11,1.7071,1.7126,1.6994,1.7069,0.0
